lon,lat,alt,rel_alt,heading,time
55.4718207,10.3250211,15.731,0.074,319.0,1669364486.3660104
55.4718207,10.3250211,15.731,0.074,319.0,1669364487.3658628
55.4718207,10.3250211,15.731,0.074,319.0,1669364488.3658233
55.4718207,10.3250211,15.731,0.074,319.0,1669364489.3657749
55.4718207,10.3250211,15.731,0.074,319.0,1669364490.3657627
55.4718207,10.3250211,15.731,0.074,319.0,1669364491.3658235
55.4718207,10.3250211,15.731,0.074,319.0,1669364492.3658144
55.4718207,10.3250211,15.731,0.074,319.0,1669364493.3658364
55.4718207,10.3250211,15.731,0.074,319.0,1669364494.3658621
55.4718207,10.3250211,15.731,0.074,319.0,1669364495.3658752
55.4718207,10.3250211,15.731,0.074,319.0,1669364496.3658757
55.4718207,10.3250211,15.731,0.074,319.0,1669364497.365869
55.4718207,10.3250211,15.731,0.074,319.0,1669364498.3661046
55.4718207,10.3250211,15.731,0.074,319.0,1669364499.3658028
55.4718207,10.3250211,15.731,0.074,319.0,1669364500.3658323
55.4718207,10.3250211,15.731,0.074,319.0,1669364501.3657808
55.4718207,10.3250211,15.731,0.074,319.0,1669364502.3662736
55.4718207,10.3250211,15.731,0.074,319.0,1669364503.3661914
55.4718207,10.3250211,15.731,0.074,319.0,1669364504.3663743
55.4718207,10.3250211,15.731,0.074,319.0,1669364505.3657362
55.4718207,10.3250211,15.731,0.074,319.0,1669364506.3658476
55.4718207,10.3250211,15.731,0.074,319.0,1669364507.3656976
55.4718207,10.3250211,15.731,0.074,319.0,1669364508.3657334
55.4718207,10.3250211,15.731,0.074,319.0,1669364509.3658023
55.4718207,10.3250211,15.731,0.074,319.0,1669364510.3662148
55.4718207,10.3250211,15.731,0.074,319.0,1669364511.3658903
55.4718207,10.3250211,15.731,0.074,319.0,1669364512.365826
55.4718207,10.3250211,15.731,0.074,319.0,1669364513.365831
55.4718207,10.3250211,15.731,0.074,319.0,1669364514.3657534
55.4718207,10.3250211,15.731,0.074,319.0,1669364515.3658278
55.4718207,10.3250211,15.731,0.074,319.0,1669364516.3658142
55.4718207,10.3250211,15.731,0.074,319.0,1669364517.3658476
55.4718207,10.3250211,15.731,0.074,319.0,1669364518.3658314
55.4718207,10.3250211,15.731,0.074,319.0,1669364519.3658144
55.4718207,10.3250211,15.731,0.074,319.0,1669364520.3655505
55.4718207,10.3250211,15.731,0.074,319.0,1669364521.3650663
55.4718207,10.3250211,15.731,0.074,319.0,1669364522.3660004
55.4718207,10.3250211,15.731,0.074,319.0,1669364523.3653548
55.4718207,10.3250211,15.731,0.074,319.0,1669364524.3658583
55.4718207,10.3250211,15.731,0.074,319.0,1669364525.3658507
55.4718207,10.3250211,15.731,0.074,319.0,1669364526.3658247
55.4718207,10.3250211,15.731,0.074,319.0,1669364527.3658001
55.4718207,10.3250211,15.731,0.074,319.0,1669364528.36581
55.4718207,10.3250211,15.731,0.074,319.0,1669364529.3658078
55.4718207,10.3250211,15.731,0.074,319.0,1669364530.3657966
55.4718207,10.3250211,15.731,0.074,319.0,1669364531.3657963
55.4718207,10.3250211,15.731,0.074,319.0,1669364532.3658397
55.4718207,10.3250211,15.731,0.074,319.0,1669364533.3658712
55.4718207,10.3250211,15.731,0.074,319.0,1669364534.365809
55.4718207,10.3250211,15.731,0.074,319.0,1669364535.3650079
55.4718207,10.3250211,15.731,0.074,319.0,1669364536.3658662
55.4718207,10.3250211,15.731,0.074,319.0,1669364537.365841
55.4718207,10.3250211,15.731,0.074,319.0,1669364538.3658416
55.4718207,10.3250211,15.731,0.074,319.0,1669364539.3658557
55.4718207,10.3250211,15.731,0.074,319.0,1669364540.3658202
